2026-01-13 20:46:57.118; VERBOSE; ScenarioProfile; 3764; 12060] (JsonHelper)LoadJsonFile: Finish
2026-01-13 20:46:57.118; VERBOSE; ScenarioProfile; 3764; 12060] (ProfileHelper)SetCache: AppTag :Operating_Mode_DC, AppType :Service_App, AppUID :{467227BF-4B16-462A-8ABB-9BA331EE45DB}, Mode :0, ModeKey :0,
2026-01-13 20:46:57.118; VERBOSE; ScenarioProfile; 3764; 12060] (JsonHelper)SaveJsonFile: Enter
2026-01-13 20:46:57.119; VERBOSE; ScenarioProfile; 3764; 12060] (JsonHelper)SaveJsonFile: Finish
2026-01-13 20:46:57.120; VERBOSE; ScenarioProfile; 3764; 12060] (ProfileHelper)SetCache: Finish
2026-01-13 20:46:57.120; VERBOSE; ScenarioProfile; 3764; 12060] ScenarioProfile::DoScenarioProfileReceiveServiceMessage_Notice End
2026-01-13 20:46:57.145; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Win32 Process full path=C:\Program Files\Microsoft OneDrive\OneDrive.exe
2026-01-13 20:46:57.147; INFO; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:57.147; WARNING; DenoiseAIPlugin; 3764; 16948] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:57.148; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Writing info for process #2: i (PID=30612)
2026-01-13 20:46:57.215; INFO; DenoiseAIPlugin; 3764; 29056] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:57.215; WARNING; DenoiseAIPlugin; 3764; 29056] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:57.222; INFO; ThrottleControl; 3764; 15260] ThrottlePlugin::SetPowerScheme, User Mode: 0, Mode: 0, IsAC: 0, IsPDInOS: 0, CPU Verdor: 2, PowerSchemeReset: 0, PS: 0x00000000, Result: 1, Source: Current Profile, PowerSettingsSync Enabled: 0, GetSyncPowerSettings: 0, SyncPowerSettings: 
2026-01-13 20:46:57.238; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Win32 Process full path=C:\Program Files\iolo technologies\System Mechanic\ioloTrayApp.exe
2026-01-13 20:46:57.240; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Writing info for process #3: x (PID=23976)
2026-01-13 20:46:57.319; INFO; ThrottleControl; 3764; 15260] ThrottlePlugin::HandleOPModeChanged, SN: 8, User Mode: 0, Mode: 0, SetPowerMode(1): 1, TurnOnTC: 0, OSD: Not displayed
2026-01-13 20:46:57.343; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] UWP Process detected, Package=Microsoft.GamingApp
2026-01-13 20:46:57.344; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Writing info for process #4: x (PID=25880)
2026-01-13 20:46:57.346; INFO; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2026-01-13 20:46:57.346; WARNING; DenoiseAIPlugin; 3764; 18020] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2026-01-13 20:46:57.366; INFO; GameLibraryPlugin; 3764; 13316] PBT_APMRESUMEAUTOMATIC
2026-01-13 20:46:57.366; INFO; RedemptionPlugin; 3764; 13556] PBT_APMRESUMESUSPEND
2026-01-13 20:46:57.367; VERBOSE; RedemptionPlugin; 3764; 13556] DeviceThread_PromotionUpdate: Wait unlock device table mutex
2026-01-13 20:46:57.367; VERBOSE; RedemptionPlugin; 3764; 13556] DeviceThread_PromotionUpdate: Start
2026-01-13 20:46:57.367; INFO; RedemptionPlugin; 3764; 13556] DoPromotionTask Start
